                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.76489,                 0.6028,                0.99223,                0.82759,                0.87638,                0.88791,                0.70634,                0.79531,                 0.7412,                0.91953,              0.0004387,              0.0004387,              0.0004387
                     72,                0.76629,                0.61611,                0.98923,                0.83781,                0.88004,                0.88696,                0.70158,                0.81627,                0.74319,                0.93001,             0.00042456,             0.00042456,             0.00042456
                     73,                 0.7685,                 0.6146,                0.99348,                0.83985,                 0.8867,                0.88052,                0.69264,                0.81113,                 0.7473,                0.92171,             0.00041041,             0.00041041,             0.00041041
                     74,                0.75139,                0.59176,                0.99015,                0.80963,                0.88494,                0.88636,                0.69562,                0.79239,                0.73576,                0.89638,             0.00039626,             0.00039626,             0.00039626
                     75,                0.75521,                0.60094,                0.98683,                0.82654,                0.88145,                0.88362,                0.69113,                0.79451,                0.76531,                0.89975,             0.00038211,             0.00038211,             0.00038211
                     76,                0.73309,                0.58501,                0.98237,                0.84956,                0.86013,                0.89113,                0.70548,                0.79838,                0.72218,                0.89169,             0.00036797,             0.00036797,             0.00036797
                     77,                0.75614,                0.59608,                0.99071,                0.85308,                0.86789,                0.89603,                0.71655,                0.79413,                 0.6799,                 0.8991,             0.00035382,             0.00035382,             0.00035382
                     78,                0.74205,                0.58483,                 0.9834,                 0.8352,                0.89043,                 0.8906,                0.70773,                0.79343,                0.70773,                0.89562,             0.00033967,             0.00033967,             0.00033967
                     79,                 0.7532,                0.59276,                0.98287,                 0.8401,                0.87935,                0.88714,                0.70904,                0.79944,                0.70473,                0.89991,             0.00032553,             0.00032553,             0.00032553
                     80,                0.75888,                0.59147,                0.98726,                 0.8305,                0.88406,                0.88683,                0.71099,                0.79555,                0.70274,                0.89825,             0.00031138,             0.00031138,             0.00031138
                     81,                 0.7345,                0.58553,                0.98215,                 0.8098,                 0.8894,                0.88395,                0.70701,                0.81382,                0.72764,                0.90343,             0.00029723,             0.00029723,             0.00029723
                     82,                0.72472,                0.56749,                0.98023,                0.81411,                0.89013,                 0.8818,                0.70342,                 0.8076,                0.71744,                0.90945,             0.00028308,             0.00028308,             0.00028308
                     83,                0.74224,                0.57585,                0.98849,                0.82197,                 0.8983,                0.88326,                 0.7061,                 0.8153,                 0.6937,                0.91039,             0.00026894,             0.00026894,             0.00026894
                     84,                0.71777,                0.56708,                0.97493,                0.82308,                 0.8847,                0.87875,                 0.7022,                0.79992,                0.69769,                0.90514,             0.00025479,             0.00025479,             0.00025479
                     85,                0.73347,                0.58316,                0.98881,                0.82015,                 0.8934,                0.88101,                0.70009,                0.78441,                0.71055,                0.89259,             0.00024064,             0.00024064,             0.00024064
                     86,                0.73731,                0.56715,                0.98557,                0.81789,                0.89915,                0.88593,                0.70194,                0.80185,                0.70467,                0.90146,              0.0002265,              0.0002265,              0.0002265
                     87,                0.70902,                0.55238,                0.97144,                0.83209,                0.89934,                0.88321,                0.70718,                0.79057,                0.68861,                0.88788,             0.00021235,             0.00021235,             0.00021235
                     88,                0.72322,                0.56496,                0.98065,                0.83877,                0.87829,                0.88364,                0.70215,                 0.7941,                0.69247,                 0.8913,              0.0001982,              0.0001982,              0.0001982
                     89,                0.70701,                0.56452,                0.96943,                0.85125,                0.87421,                0.88396,                0.70133,                0.79032,                0.70111,                0.89349,             0.00018406,             0.00018406,             0.00018406
                     90,                0.71112,                0.55151,                0.97226,                 0.8398,                0.88552,                  0.884,                0.70432,                0.79142,                0.69996,                0.89411,             0.00016991,             0.00016991,             0.00016991
                     91,                0.72043,                0.57579,                0.98177,                0.83607,                0.88234,                0.88215,                0.69199,                0.79264,                0.69199,                 0.8864,             0.00015576,             0.00015576,             0.00015576
                     92,                0.73993,                0.57309,                0.98712,                0.84187,                0.88548,                0.89089,                0.70314,                0.79252,                0.70431,                0.89043,             0.00014161,             0.00014161,             0.00014161
                     93,                0.69738,                0.52696,                0.95792,                 0.8089,                0.88584,                0.88083,                0.70155,                0.78625,                 0.6918,                0.88368,             0.00012747,             0.00012747,             0.00012747
                     94,                0.68918,                 0.5143,                 0.9561,                0.81866,                0.88452,                0.88123,                 0.7018,                0.78299,                0.69459,                0.88417,             0.00011332,             0.00011332,             0.00011332
                     95,                0.67295,                0.50148,                0.95312,                0.83478,                0.87295,                0.88109,                0.70324,                0.78192,                0.68953,                 0.8828,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.67308,                0.50247,                0.95885,                0.84376,                0.85298,                0.88284,                0.70501,                0.77448,                 0.6995,                0.88402,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.66527,                0.50664,                0.94479,                0.84202,                0.87948,                0.88801,                0.71249,                0.77074,                 0.6817,                0.88406,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.67041,                0.51275,                0.95756,                0.84034,                 0.8892,                0.89485,                0.71609,                0.77032,                0.67171,                 0.8824,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.66351,                0.50191,                0.94986,                0.83339,                 0.8851,                0.89221,                 0.7139,                0.77208,                 0.6746,                0.88337,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.65142,                0.50201,                0.94526,                0.83305,                0.89446,                0.89068,                0.71239,                0.76832,                0.67379,                0.88114,             2.8437e-05,             2.8437e-05,             2.8437e-05
